product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
Camden City Council - Outstanding Notices,NSWCAMDE0007,NSW,LGA,true,Order the Outstanding Notices from Camden City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,120.00,,no_gst,0.00,Manual,active,,
Camden City Council - Flood Certificate,NSWCAMDE0009,NSW,LGA,true,"Order the Flood Certificate from Camden City Council. This certificate, search or report supplies available flood, flood-level or flood-planning information for the property.",Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,211.00,,no_gst,0.00,Manual,active,,
Camden City Council - 88G Certificate,NSWCAMDE0011,NSW,LGA,true,"Order the 88G Certificate from Camden City Council. This product supplies the certificate, search, diagram, plan, report or property information stated in the product name.",Camden,Camden City Council,c7c3daf9-7e44-4407-ad33-6d3fa6df5acb,30.00,,no_gst,0.00,Manual,active,,
Campbelltown City Council - Rates Certificate S.603,NSWCAMPB0004,NSW,LGA,true,"Order the Rates Certificate S.603 from Campbelltown City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Campbelltown,Campbelltown City Council,2d7c7bf6-5eaf-4532-aee5-9b92330a2a04,100.00,,no_gst,0.00,Manual,active,,
Campbelltown City Council - Rates Certificate S.603 URGENT,NSWCAMPB0005,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Campbelltown City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Campbelltown,Campbelltown City Council,2d7c7bf6-5eaf-4532-aee5-9b92330a2a04,147.50,,no_gst,0.00,Manual,active,,
Campbelltown City Council - Planning Certificate S.10.7(2),NSWCAMPB0006,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Campbelltown City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Campbelltown,Campbelltown City Council,2d7c7bf6-5eaf-4532-aee5-9b92330a2a04,71.50,,no_gst,0.00,Manual,active,,
Campbelltown City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWCAMPB0007,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Campbelltown City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Campbelltown,Campbelltown City Council,2d7c7bf6-5eaf-4532-aee5-9b92330a2a04,181.00,,no_gst,0.00,Manual,active,,
Campbelltown City Council - Outstanding Notices S.735A,NSWCAMPB0008,NSW,LGA,true,Order the Outstanding Notices S.735A from Campbelltown City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Campbelltown,Campbelltown City Council,2d7c7bf6-5eaf-4532-aee5-9b92330a2a04,151.00,,no_gst,0.00,Manual,active,,
Campbelltown City Council - Outstanding Notices S.121ZP,NSWCAMPB0009,NSW,LGA,true,Order the Outstanding Notices S.121ZP from Campbelltown City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Campbelltown,Campbelltown City Council,2d7c7bf6-5eaf-4532-aee5-9b92330a2a04,151.00,,no_gst,0.00,Manual,active,,
Canada Bay City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWCANAD0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Canada Bay City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Canada Bay,Canada Bay City Council,2c8a5648-8cbf-4918-a38f-6b953ca65bac,178.00,,no_gst,0.00,Manual,active,,
Canada Bay City Council - Planning Certificate S.10.7(2),NSWCANAD0006,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Canada Bay City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Canada Bay,Canada Bay City Council,2c8a5648-8cbf-4918-a38f-6b953ca65bac,71.00,,no_gst,0.00,Manual,active,,
Canada Bay City Council - Rates Certificate S.603,NSWCANAD0009,NSW,LGA,true,"Order the Rates Certificate S.603 from Canada Bay City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Canada Bay,Canada Bay City Council,2c8a5648-8cbf-4918-a38f-6b953ca65bac,100.00,,no_gst,0.00,Manual,active,,
Canada Bay City Council - Rates Certificate S.603 URGENT,NSWCANAD0010,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Canada Bay City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Canada Bay,Canada Bay City Council,2c8a5648-8cbf-4918-a38f-6b953ca65bac,281.00,,no_gst,0.00,Manual,active,,
Canada Bay City Council - Outstanding Notices 735A (previous 121ZP now incorporated into 735A),NSWCANAD0015,NSW,LGA,true,Order the Outstanding Notices 735A (previous 121ZP now incorporated into 735A) from Canada Bay City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Canada Bay,Canada Bay City Council,2c8a5648-8cbf-4918-a38f-6b953ca65bac,247.00,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Planning Certificate S.10.7(2),NSWCANTE0001,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Canterbury-Bankstown City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,71.15,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWCANTE0002,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Canterbury-Bankstown City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,179.03,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Planning Certificate S.10.7(2) & S.10.7(5) URGENT,NSWCANTE0003,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) URGENT from Canterbury-Bankstown City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product. This is the urgent service option.",Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,372.00,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Planning Certificate S.10.7(2) URGENT,NSWCANTE0004,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) URGENT from Canterbury-Bankstown City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints. This is the urgent service option.",Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,264.12,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Rates Certificate S.603,NSWCANTE0005,NSW,LGA,true,"Order the Rates Certificate S.603 from Canterbury-Bankstown City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,100.00,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Rates Certificate S.603 URGENT,NSWCANTE0006,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Canterbury-Bankstown City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,170.45,,no_gst,0.00,Manual,active,,
Canterbury-Bankstown City Council - Outstanding Notice Certificate,NSWCANTE0016,NSW,LGA,true,Order the Outstanding Notice Certificate from Canterbury-Bankstown City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Canterbury-Bankstown,Canterbury-Bankstown City Council,059b8977-d5ff-43f6-b117-75f7032fe0e4,157.50,,no_gst,0.00,Manual,active,,
Carrathool City Council - Rates Certificate S.603,NSWCARRA0001,NSW,LGA,true,"Order the Rates Certificate S.603 from Carrathool City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,100.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Rates Certificate S.603 URGENT,NSWCARRA0002,NSW,LGA,true,"Order the Rates Certificate S.603 URGENT from Carrathool City Council. This section 603 or equivalent rates certificate states rates, charges and other amounts payable to council for the land, as specified in the product name. This is the urgent service option.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,175.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Special Water Meter Reading URBAN,NSWCARRA0003,NSW,LGA,true,"Order the Special Water Meter Reading URBAN from Carrathool City Council. This service requests the stated water-meter reading for the property, commonly used for settlement or account purposes.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,80.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Special Water Meter Reading RURAL,NSWCARRA0004,NSW,LGA,true,"Order the Special Water Meter Reading RURAL from Carrathool City Council. This service requests the stated water-meter reading for the property, commonly used for settlement or account purposes.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,212.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Planning Certificate S.10.7(2),NSWCARRA0005,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) from Carrathool City Council. This section 10.7 planning certificate provides prescribed information about how planning controls apply to the land, including zoning and relevant planning or property constraints.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,71.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Planning Certificate S.10.7(2) & S.10.7(5),NSWCARRA0006,NSW,LGA,true,"Order the Planning Certificate S.10.7(2) & S.10.7(5) from Carrathool City Council. This section 10.7 planning certificate includes prescribed planning information and additional council advice on matters relevant to the land, as stated for the combined section 10.7(2) and (5) product.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,178.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Sewer Diagram (external),NSWCARRA0007,NSW,LGA,true,"Order the Sewer Diagram (external) from Carrathool City Council. This product supplies the stated drainage, sewer or water diagram or plan held for the property, including internal services or authority assets as applicable.",Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,26.00,,no_gst,0.00,Manual,active,,
Carrathool City Council - Outstanding Notices S.735A,NSWCARRA0008,NSW,LGA,true,Order the Outstanding Notices S.735A from Carrathool City Council. This search identifies applicable outstanding council notices or orders for the property under the legislation stated in the product name.,Carrathool,Carrathool City Council,e973a475-0f8e-4e06-9e1e-791fd31ee0fe,65.00,,no_gst,0.00,Manual,active,,
